"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-12 to 06-10",49.7133333333333,46.4966666666667,48.6333333333333,48.6333333333333,50.6566666666667,46.4966666666667,49.04,49.59,45.2466666666667,47.2733333333333,44.33,54.21,46.96,44.5,48.1833333333333,47.02,47.6033333333333,48.0433333333333,52.7366666666667,49.1966666666667,49.1966666666667,48.1833333333333,44.3333333333333,45.2466666666667,45.7366666666667,45.8666666666667,48.8666666666667,47.6033333333333,42.68,48.0433333333333,47.2766666666667,48.1833333333333,44.84,42.0133333333333,44.5,53.6433333333333,45.8666666666667,44.33,42.68,47.9366666666667,44.3333333333333,44.6566666666667,42.68,48.8666666666667,52.7366666666667,44.6566666666667,44.33,1981
"05-12 to 06-10",48.65,45.47,46.8866666666667,46.8866666666667,50.92,45.47,47.3,48.6166666666667,43.8166666666667,46.3233333333333,43.0333333333333,51.9766666666667,48.0066666666667,43.1933333333333,47.1133333333333,46.46,46.2233333333333,48.6166666666667,51.23,48.5633333333333,48.5633333333333,47.1133333333333,43.8933333333333,43.8166666666667,45.3833333333333,44.7333333333333,47.14,46.2233333333333,40.9066666666667,48.6166666666667,45.5666666666667,47.1133333333333,44.4366666666667,41.5333333333333,43.1933333333333,53.35,44.7333333333333,43.0333333333333,40.9066666666667,47.35,43.8933333333333,43.4966666666667,40.9066666666667,47.14,51.23,43.4966666666667,43.0333333333333,1982
"05-12 to 06-10",55.13,52.57,52.2933333333333,52.2933333333333,55.7133333333333,52.57,52.6333333333333,55.3033333333333,50.0933333333333,53.4666666666667,50.51,58.1066666666667,53.1766666666667,50.49,52.2166666666667,51.39,51.4766666666667,53.3066666666667,55.7866666666667,54.8433333333333,54.8433333333333,52.2166666666667,49.4866666666667,50.0933333333333,51.0433333333333,51.6333333333333,51.95,51.4766666666667,45.94,53.3066666666667,51.5333333333333,52.2166666666667,50.06,47.93,50.49,58.0533333333333,51.6333333333333,50.51,45.94,53.4266666666667,49.4866666666667,50.2766666666667,45.94,51.95,55.7866666666667,50.2766666666667,50.51,1983
"05-12 to 06-10",46.48,42.9833333333333,47.15,47.15,48.09,42.9833333333333,47.52,46.3866666666667,41.4833333333333,43.7233333333333,41.1666666666667,50.7866666666667,43.3433333333333,41.36,43.33,42.0533333333333,42.7433333333333,43.99,49.8466666666667,44.7833333333333,44.7833333333333,43.33,39.5766666666667,41.4833333333333,41.43,42.65,46.0033333333333,42.7433333333333,39.59,43.99,43.5466666666667,43.33,40.0033333333333,37.13,41.36,49.7766666666667,42.65,41.1666666666667,39.59,43.9766666666667,39.5766666666667,42.8333333333333,39.59,46.0033333333333,49.8466666666667,42.8333333333333,41.1666666666667,1984
"05-12 to 06-10",51.17,48.3633333333333,48.84,48.84,50.6866666666667,48.3633333333333,49.1633333333333,50.6333333333333,44.4466666666667,49.1566666666667,45.0366666666667,54.6866666666667,47.4666666666667,45.3666666666667,48.6266666666667,46.9466666666667,47.7433333333333,48.1533333333333,51.3233333333333,50.6466666666667,50.6466666666667,48.6266666666667,45.5166666666667,44.4466666666667,46.9733333333333,47.2666666666667,47.86,47.7433333333333,42.5033333333333,48.1533333333333,46.99,48.6266666666667,46.04,43.2366666666667,45.3666666666667,54.4766666666667,47.2666666666667,45.0366666666667,42.5033333333333,49.2533333333333,45.5166666666667,43.4466666666667,42.5033333333333,47.86,51.3233333333333,43.4466666666667,45.0366666666667,1985
"05-12 to 06-10",55.4833333333333,54.17,53.4966666666667,53.4966666666667,54.4633333333333,54.17,53.8333333333333,56.27,50.3033333333333,55.2866666666667,50.0766666666667,58.7533333333333,53.79,50.62,53.4233333333333,52.8433333333333,52.77,54.2533333333333,56.2,52.6233333333333,52.6233333333333,53.4233333333333,48.7333333333333,50.3033333333333,49.66,53.1566666666667,52.4933333333333,52.77,44.96,54.2533333333333,52.7933333333333,53.4233333333333,49.2366666666667,46.73,50.62,57.9566666666667,53.1566666666667,50.0766666666667,44.96,51.52,48.7333333333333,49.0733333333333,44.96,52.4933333333333,56.2,49.0733333333333,50.0766666666667,1986
"05-12 to 06-10",50.53,47.88,51.71,51.71,50.65,47.88,52.0333333333333,50.66,45.2633333333333,48.76,45.9566666666667,55.28,49.3966666666667,46.2566666666667,50.2233333333333,49.47,49.4,49.9,52.94,49.5333333333333,49.5333333333333,50.2233333333333,44.97,45.2633333333333,46.79,47.3166666666667,50.15,49.4,43.1266666666667,49.9,47.5866666666667,50.2233333333333,45.2766666666667,43.0933333333333,46.2566666666667,54.67,47.3166666666667,45.9566666666667,43.1266666666667,48.2666666666667,44.97,45.3533333333333,43.1266666666667,50.15,52.94,45.3533333333333,45.9566666666667,1987
"05-12 to 06-10",47.8066666666667,45.0033333333333,47.36,47.36,48.1766666666667,45.0033333333333,47.7233333333333,47.6933333333333,41.4633333333333,45.7633333333333,42.7333333333333,52.0833333333333,46.6133333333333,43.0833333333333,48.5866666666667,47.7,47.9166666666667,47.6433333333333,47.2833333333333,48.02,48.02,48.5866666666667,42.6366666666667,41.4633333333333,44.4233333333333,44.3066666666667,44.8733333333333,47.9166666666667,39.4033333333333,47.6433333333333,44,48.5866666666667,43.07,40.4133333333333,43.0833333333333,52.73,44.3066666666667,42.7333333333333,39.4033333333333,47.0766666666667,42.6366666666667,39.55,39.4033333333333,44.8733333333333,47.2833333333333,39.55,42.7333333333333,1988
"05-12 to 06-10",48.8233333333333,46.2333333333333,47.9466666666667,47.9466666666667,50.95,46.2333333333333,48.3966666666667,49.29,43.14,47.1633333333333,43.39,52.86,47.8533333333333,43.7633333333333,49.5033333333333,48.5066666666667,49.1333333333333,48.71,50.22,49.26,49.26,49.5033333333333,45.53,43.14,47.09,45.6166666666667,46.4533333333333,49.1333333333333,40.14,48.71,45.0333333333333,49.5033333333333,45.77,43.32,43.7633333333333,54.17,45.6166666666667,43.39,40.14,48.1066666666667,45.53,42.2666666666667,40.14,46.4533333333333,50.22,42.2666666666667,43.39,1989
"05-12 to 06-10",45.7266666666667,43.07,44.6866666666667,44.6866666666667,46.9,43.07,45.04,45.8666666666667,40.54,43.9566666666667,41.3933333333333,51.1166666666667,43.54,41.5933333333333,45.3433333333333,43.91,44.36,44.2666666666667,45.1233333333333,46.2333333333333,46.2333333333333,45.3433333333333,41.15,40.54,42.7366666666667,42.38,43.6433333333333,44.36,38.5666666666667,44.2666666666667,41.26,45.3433333333333,41.6466666666667,38.85,41.5933333333333,51.4833333333333,42.38,41.3933333333333,38.5666666666667,44.9166666666667,41.15,38.0233333333333,38.5666666666667,43.6433333333333,45.1233333333333,38.0233333333333,41.3933333333333,1990
