"dYear","#timestep","10ABAM_OR","11ABAM_OR","1ABAM_OR","22ABAM_WA","28ABAM_WA","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","2ABCO_OR","3ABCO_OR","12ABGR_OR","39ABGR_WA","40ABGR_WA","23ABLA_WA","4ABLA_OR","5ABMA_OR","6ABMA_OR","13ABMAS_OR","43ABMAS_WA","14ABPR_OR","15ABPR_OR","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","50ABPR_WA","21PIEN_WA","7PILA_OR","16PIMO3_OR","27PIMO3_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","17TSME_OR","18TSME_OR","19TSME_OR","25TSME_WA","26TSME_WA","58TSME_WA","59TSME_WA","60TSME_WA","8TSME_OR","9TSME_OR"
"1982 - 1981","05-16 to 06-14",0.768485692715193,0.821464409150535,0.816006194022221,11.0969097279172,6.77563665340688,3.81904350536635,3.81904350536635,1.50681778511285,3.84458885194504,0.75076194111308,3.84458885194507,0.567413668797002,0.490008111793769,0.596505589694969,0.773626046139712,1.0796821223628,0.697676326071031,0.697676326071031,1.29693008666578,0.490008111793769,0.596505589694969,0.600495578812267,2.915379499977,0.821464409150535,6.77563665340688,0.693040620086441,1.50681778511285,4.09595540407116,3.85742553069698,2.87676577022918,0.346455810330059,0.567413668797002,0.598497259265763,1.0796821223628,0.773626046139712,0.816006194022221,0.600495578812267,0.87226093132233,0.75076194111308,0.883968957126934,1.50681778511285,2.36316069370581,3.62069742697521,3.84458885194504,0.600495578812267,1.29693008666578,0.816006194022221
"1983 - 1982","05-16 to 06-14",676.320223082962,1312.90825824566,1475.37380925104,94.3174921058119,66.0227909604098,126.469351730114,126.469351730114,72.7236518572018,77.737155382911,479.78271931993,93.3790173789971,90.6192503425968,94.6324083149238,122.323193210889,1039.67835126214,91.2253969218259,1408.1048482047,1408.1048482047,998.91198000796,94.6324083149238,122.323193210889,106.697742432451,98.1666619785345,1312.90825824566,66.0227909604098,269.526486769088,72.7236518572018,76.4522732203885,182.48476072635,51.0769507258109,263.310339159612,90.6192503425968,115.970208324604,91.2253969218259,1039.67835126214,1475.37380925104,106.697742432451,785.771994227415,479.78271931993,1348.39013420693,72.7236518572018,68.4885560718407,110.314274523841,77.737155382911,106.697742432451,998.91198000796,1475.37380925104
"1984 - 1983","05-16 to 06-14",0.000208967183863803,0.0000970775902233469,0.0000596708658038763,0.0000781667129475518,0.000114301979749934,0.000129737160045755,0.000129737160045755,0.000185956087655101,0.000102395615191963,0.000106219802746459,0.000141955064163011,0.00228056209539215,0.00240549397861951,0.00428200751697758,0.000152756307673543,0.000197454969924779,0.0000858135761901284,0.0000858135761901284,0.000419407873398714,0.00240549397861951,0.00428200751697758,0.00171787594555747,0.000707811081912872,0.0000970775902233469,0.000114301979749934,0.00019811425134979,0.000185956087655101,0.0000938950082600159,0.0000414924116190581,0.000306589757133143,0.000412475670995667,0.00228056209539215,0.00435397235002435,0.000197454969924779,0.000152756307673543,0.0000596708658038763,0.00171787594555747,0.000162202230203095,0.000106219802746459,0.0000816283986936837,0.000185956087655101,0.000122181856019034,0.000218221490390368,0.000102395615191963,0.00171787594555747,0.000419407873398714,0.0000596708658038763
"1985 - 1984","05-16 to 06-14",788.395604462634,1760.46513318193,636.934399445319,287.148642556055,328.104886549865,572.492709013672,572.492709013672,703.921374988951,1184.01521594547,194.415962445392,737.549594943021,32.0297983091856,33.5599480402443,30.9797366198355,888.913561830642,591.897414371383,777.953432249606,777.953432249606,12.2231700296912,33.5599480402443,30.9797366198355,84.4928289839472,81.9956885043494,1760.46513318193,328.104886549865,316.292262243754,703.921374988951,1282.6283713641,1450.98802511446,481.384663474642,426.949895957872,32.0297983091856,29.4688370360701,591.897414371383,888.913561830642,636.934399445319,84.4928289839472,473.428074834833,194.415962445392,1802.0256399365,703.921374988951,494.39427843577,334.733044927498,1184.01521594547,84.4928289839472,12.2231700296912,636.934399445319
"1986 - 1985","05-16 to 06-14",214.862867704335,641.194814378764,275.889383234784,2100.64558942017,1577.08476030371,28.125219548603,28.125219548603,553.72416556658,124.378997209894,1299.84460280403,72.4816432560946,218.473924046715,253.830486100691,333.619125674569,740.012195647145,752.449085097058,305.922968500034,305.922968500034,497.701251286808,253.830486100691,333.619125674569,29.078527057797,88.5292789889757,641.194814378764,1577.08476030371,1500.16942893255,553.72416556658,124.794285630101,165.67035487373,86.1996973520741,169.581448466545,218.473924046715,308.997545448344,752.449085097058,740.012195647145,275.889383234784,29.078527057797,609.923374274356,1299.84460280403,883.007181229236,553.72416556658,1592.93472565066,31.0831747096087,124.378997209894,29.078527057797,497.701251286808,275.889383234784
"1987 - 1986","05-16 to 06-14",0.000405658047820159,0.000106930300459006,0.00121056671844862,0.000864522407704712,0.000958635153694024,0.00617858086939189,0.00617858086939189,0.00277621534175835,0.0014934496006639,0.000329917918366104,0.00378516171919236,0.00403264281203063,0.0111833039312616,0.0120744133235329,0.000166031449400285,0.0021193058637617,0.000896809882377615,0.000896809882377615,0.00294788691095892,0.0111833039312616,0.0120744133235329,0.0251390382245135,0.00162865623478828,0.000106930300459006,0.000958635153694024,0.000249346598716018,0.00277621534175835,0.00123914539650969,0.00160708494648681,0.00350581123906065,0.00200923746407006,0.00403264281203063,0.0130365282034378,0.0021193058637617,0.000166031449400285,0.00121056671844862,0.0251390382245135,0.000284911106509386,0.000329917918366104,0.000086676016968929,0.00277621534175835,0.00238155891361687,0.00685118716247721,0.0014934496006639,0.0251390382245135,0.00294788691095892,0.00121056671844862
"1988 - 1987","05-16 to 06-14",0.0229753510011082,0.0234394838789156,0.0133888456435748,0.0170773885074848,0.0255615332065075,0.0559479584715912,0.0559479584715912,0.0590128536694475,0.0318516317267655,0.00777636194356669,0.0267826764926382,0.00221316129945334,0.00240549397861951,0.0101190718542742,0.0199073420777337,0.0669818673134069,0.0140753064389302,0.0140753064389302,0.00167825620138925,0.00240549397861951,0.0101190718542742,0.00825722531084364,0.0514746067017007,0.0234394838789156,0.0255615332065075,0.01001838540702,0.0590128536694475,0.0361528317540464,0.0189996763659211,0.0478348894941984,0.0150958813094128,0.00221316129945334,0.0111833039312616,0.0669818673134069,0.0199073420777337,0.0133888456435748,0.00825722531084364,0.0217096156298486,0.00777636194356669,0.0226710461946756,0.0590128536694475,0.0465761502223833,0.0692522253093464,0.0318516317267655,0.00825722531084364,0.00167825620138925,0.0133888456435748
"1989 - 1988","05-16 to 06-14",26.3113393432658,32.895416545291,27.2031651769999,35.0461816221757,31.1869581683094,25.6189761649327,25.6189761649327,27.3851254719033,170.715768321323,84.2116551041467,151.91685024936,141.646332312081,38.6031289217028,15.1298054122999,40.3127044699801,34.5820006173143,28.125219548603,28.125219548603,143.54759700741,38.6031289217028,15.1298054122999,15.7472644845561,48.4242150713453,32.895416545291,31.1869581683094,27.7527055665448,27.3851254719033,126.048489051832,219.203385553955,40.9902131000662,39.514459438882,141.646332312081,15.3328870199071,34.5820006173143,40.3127044699801,27.2031651769999,15.7472644845561,42.8055028963074,84.2116551041467,34.1239676147544,27.3851254719033,25.5337217473516,22.5710173845755,170.715768321323,15.7472644845561,143.54759700741,27.2031651769999
"1990 - 1989","05-16 to 06-14",0.00891517854843956,0.0076478299860827,0.0197092607144481,0.00270316131540566,0.00252882629222925,0.00962555889642254,0.00962555889642254,0.00322550204924245,0.00168385972274101,0.00982000808463677,0.00170646152958258,0.000876126562258243,0.00915611484954183,0.00494192671767984,0.00636674667026334,0.00173514088584019,0.0167951241029327,0.0167951241029327,0.00166710503855666,0.00915611484954183,0.00494192671767984,0.0354369577215985,0.00769898584940158,0.0076478299860827,0.00252882629222925,0.00412784417425543,0.00322550204924245,0.00225787012339768,0.00143011559830788,0.0129931454541776,0.0202419114458044,0.000876126562258243,0.00439773049962197,0.00173514088584019,0.00636674667026334,0.0197092607144481,0.0354369577215985,0.00587724792462279,0.00982000808463677,0.00788074108406453,0.00322550204924245,0.00187965568222476,0.00812074538098806,0.00168385972274101,0.0354369577215985,0.00166710503855666,0.0197092607144481
"1991 - 1990","05-16 to 06-14",2.11700001661267,2.73646424803844,4.77471044991738,2.66445624192941,2.24790798667648,2.13827622049683,2.13827622049683,0.639757125111725,5.67838389469814,1.12000520580158,3.68154806416167,10.1756743060733,5.08689012618865,9.74414572942199,3.51368964633869,1.02360768524819,3.58467088563288,3.58467088563288,11.321082174577,5.08689012618865,9.74414572942199,2.81980199139294,2.99416880848239,2.73646424803844,2.24790798667648,1.40494759056359,0.639757125111725,5.20697982717984,4.69579142775752,1.98708087869971,0.898825231471607,10.1756743060733,10.9864936312539,1.02360768524819,3.51368964633869,4.77471044991738,2.81980199139294,2.79174449278414,1.12000520580158,2.70923597383103,0.639757125111725,1.18136041286564,1.88387972396496,5.67838389469814,2.81980199139294,11.321082174577,4.77471044991738
