"dYear","#timestep","10ABAM_OR","11ABAM_OR","1ABAM_OR","22ABAM_WA","28ABAM_WA","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","2ABCO_OR","3ABCO_OR","12ABGR_OR","39ABGR_WA","40ABGR_WA","23ABLA_WA","4ABLA_OR","5ABMA_OR","6ABMA_OR","13ABMAS_OR","43ABMAS_WA","14ABPR_OR","15ABPR_OR","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","50ABPR_WA","21PIEN_WA","7PILA_OR","16PIMO3_OR","27PIMO3_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","17TSME_OR","18TSME_OR","19TSME_OR","25TSME_WA","26TSME_WA","58TSME_WA","59TSME_WA","60TSME_WA","8TSME_OR","9TSME_OR"
"1982 - 1981","05-09 to 06-07",0.0694834512228017,0.0572687602654674,0.0541137662228217,0.707040969305163,0.525537708779744,0.28460111752955,0.28460111752955,0.127879525326156,0.167517632153908,0.058037456992454,0.192049908620754,0.0647859405058767,0.0576518274724943,0.0415856551211732,0.0532193443389217,0.0989309315602969,0.0458063141726214,0.0458063141726214,0.0566989265798471,0.0576518274724943,0.0415856551211732,0.0523397059484326,0.425992587400131,0.0572687602654674,0.525537708779744,0.0535753252524461,0.127879525326156,0.169766157439811,0.15056907449631,0.240107949623693,0.0448992883810761,0.0647859405058767,0.0425673961781137,0.0989309315602969,0.0532193443389217,0.0541137662228217,0.0523397059484326,0.0704161010878789,0.058037456992454,0.0632917683596404,0.127879525326156,0.200555017843709,0.30019190264933,0.167517632153908,0.0523397059484326,0.0566989265798471,0.0541137662228217
"1983 - 1982","05-09 to 06-07",417.103058242815,966.163750028053,937.6092958912,93.0682721841191,55.1468705634641,253.830486100691,253.830486100691,74.9384167819107,173.007220969247,324.840188380984,168.454665592946,36.7204321081183,43.9623389011748,93.3790173789977,740.012195647145,82.8197588739999,1053.63355724232,1053.63355724232,355.431780440428,43.9623389011748,93.3790173789977,52.8082097685894,76.7075393382959,966.163750028053,55.1468705634641,181.27224187515,74.9384167819107,180.669007018878,351.895175134217,53.6957219890672,150.405252333076,36.7204321081183,86.1996973520741,82.8197588739999,740.012195647145,937.6092958912,52.8082097685894,524.965913246021,324.840188380984,972.626359791887,74.9384167819107,63.222905650334,222.145668995025,173.007220969247,52.8082097685894,355.431780440428,937.6092958912
"1984 - 1983","05-09 to 06-07",0.00172361175307759,0.000673290728103211,0.000955445023019988,0.000322308950119019,0.000529629245323767,0.000135031833988742,0.000135031833988742,0.000830623999233227,0.000321236375569331,0.00147858952885004,0.000401621682803358,0.0428521268670402,0.0373782360901869,0.14660696213035,0.00125577797256237,0.000968269597161397,0.00105945569290761,0.00105945569290761,0.0188106264273682,0.0373782360901869,0.14660696213035,0.0341611356132522,0.00304780587243104,0.000673290728103211,0.000529629245323767,0.00333483080733978,0.000830623999233227,0.0002701139457578,0.000124235284658497,0.00156479571039418,0.00991870080665523,0.0428521268670402,0.151071808836371,0.000968269597161397,0.00125577797256237,0.000955445023019988,0.0341611356132522,0.00141588571034681,0.00147858952885004,0.000583382984724386,0.000830623999233227,0.000524359346281493,0.000264765331273449,0.000321236375569331,0.0341611356132522,0.0188106264273682,0.000955445023019988
"1985 - 1984","05-09 to 06-07",22.0504571330011,32.3517031338651,10.8049028639313,24.2884274430945,25.5337217473516,244.69193226422,244.69193226422,77.737155382911,162.389862053489,7.36446691667242,119.502026971622,0.70234304000718,1.34536676910749,0.88102729942311,16.6099182187867,57.781385097301,10.8771761931093,10.8771761931093,0.130462863099731,1.34536676910749,0.88102729942311,3.24354434866473,5.17238208228798,32.3517031338651,25.5337217473516,10.7689464816482,77.737155382911,188.042249067889,222.145668995025,49.56739869914,11.5497832050565,0.70234304000718,0.857843726239371,57.781385097301,16.6099182187867,10.8049028639313,3.24354434866473,13.690014064652,7.36446691667242,35.6351793292946,77.737155382911,52.4573259490991,130.756044762995,162.389862053489,3.24354434866473,0.130462863099731,10.8049028639313
"1986 - 1985","05-09 to 06-07",67.8070835526466,287.148642556053,144.990274341865,524.965913246024,412.952813469569,5.51056228838363,5.51056228838363,117.135728295052,19.2979717555028,269.526486769086,11.3210821745771,117.526832200411,67.1323917983139,69.8721166809897,320.537732647357,144.507778034659,188.670102405666,188.670102405666,330.299559909648,67.1323917983139,69.8721166809897,9.58308916676436,32.2440436555675,287.148642556053,412.952813469569,236.669976544007,117.135728295052,19.362405658198,23.49215807835,27.3851254719033,49.898951973408,117.526832200411,71.0464105587173,144.507778034659,320.537732647357,144.990274341865,9.58308916676436,209.907438954249,269.526486769086,366.25628966601,117.135728295052,356.61852985875,7.81986011794696,19.2979717555028,9.58308916676436,330.299559909648,144.990274341865
"1987 - 1986","05-09 to 06-07",0.0737800678884723,0.0240729453979247,0.0960070806624839,0.0799249933957624,0.0979465523439225,0.239308922243755,0.239308922243755,0.325194005960759,0.201224650003425,0.0590128536694479,0.498243350012522,0.33959552564494,0.67032004603564,1.18530485132036,0.033262210928344,0.296215909471949,0.0807282529335907,0.0807282529335907,0.251578553059756,0.67032004603564,1.18530485132036,0.857843726239371,0.182075592754289,0.0240729453979247,0.0979465523439225,0.0548401146680753,0.325194005960759,0.166404562294888,0.253261346492368,0.211541658426982,0.198559462073726,0.33959552564494,1.14644593617649,0.296215909471949,0.033262210928344,0.0960070806624839,0.857843726239371,0.0429952056220416,0.0590128536694479,0.0194482147453854,0.325194005960759,0.269820056384686,0.16585080386403,0.201224650003425,0.857843726239371,0.251578553059756,0.0960070806624839
"1988 - 1987","05-09 to 06-07",0.0455019544046217,0.0444525329971404,0.0432827979019659,0.04847695897186,0.0735345437630571,0.190773834204202,0.190773834204202,0.106458504379253,0.0690217688657731,0.0142642339089993,0.0697154491753188,0.00379779997698389,0.00680566449223053,0.0108166716189,0.0403566132720311,0.116484157773497,0.0443046045714966,0.0443046045714966,0.00361257908647525,0.00680566449223053,0.0108166716189,0.0298969144369262,0.0468876952199884,0.0444525329971404,0.0735345437630571,0.0173643967408761,0.106458504379253,0.0740264117931792,0.0513033103319192,0.131335521148493,0.0311170306610609,0.00379779997698389,0.0113712542319404,0.116484157773497,0.0403566132720311,0.0432827979019659,0.0298969144369262,0.0373782360901872,0.0142642339089993,0.0387742078317217,0.106458504379253,0.0950517942486353,0.311403223914598,0.0690217688657731,0.0298969144369262,0.00361257908647525,0.0432827979019659
"1989 - 1988","05-09 to 06-07",0.818730753077979,0.878095430920559,0.438965993117056,1.21328715517349,0.944908986539594,1.05127109637602,1.05127109637602,0.935506985031621,4.39294568091874,1.30560517206495,3.24354434866471,3.1899332761162,0.967216100482008,0.513417119032593,0.895834135296529,1.35888792992652,0.446343400625714,0.446343400625714,1.99371553324308,0.967216100482008,0.513417119032593,0.588604969678355,6.19246563761535,0.878095430920559,0.944908986539594,0.840857282364352,0.935506985031621,3.79366789468316,3.88322761227701,1.17351087099181,0.763379494336851,3.1899332761162,0.554327284734505,1.35888792992652,0.895834135296529,0.438965993117056,0.588604969678355,1.24193005644849,1.30560517206495,1.00000000000001,0.935506985031621,0.869358235398805,0.840857282364352,4.39294568091874,0.588604969678355,1.99371553324308,0.438965993117056
"1990 - 1989","05-09 to 06-07",0.0504553411979942,0.0514746067017007,0.173195661311288,0.0184997141198192,0.0181333952368011,0.0944202231963024,0.0944202231963024,0.0214220752836032,0.0215653662245904,0.126607102789084,0.0235177458560091,0.00882647103972669,0.0723191246607632,0.0347352589447386,0.0509624258073227,0.0111833039312616,0.139922488024309,0.139922488024309,0.0221481789570373,0.0723191246607632,0.0347352589447386,0.20528965757991,0.0315347026957238,0.0514746067017007,0.0181333952368011,0.0275064891423448,0.0214220752836032,0.0279687722866373,0.0216373707194932,0.0809977960990685,0.128306501642422,0.00882647103972669,0.0319579809828101,0.0111833039312616,0.0509624258073227,0.173195661311288,0.20528965757991,0.0459592566490443,0.126607102789084,0.0541137662228213,0.0214220752836032,0.013704925297365,0.0737800678884723,0.0215653662245904,0.20528965757991,0.0221481789570373,0.173195661311288
"1991 - 1990","05-09 to 06-07",0.28460111752955,0.410655752752345,0.860707976425059,0.588604969678355,0.473943735093717,0.88692043671716,0.88692043671716,0.181469684519857,1.69893230861855,0.18762062007593,0.967216100482008,0.799848188790679,0.700005794114424,1.31872672219016,0.523788832829726,0.247420325328019,0.70234304000718,0.70234304000718,0.941764533584247,0.700005794114424,1.31872672219016,0.536154274731688,0.42457497610689,0.410655752752345,0.473943735093717,0.147096467392976,0.181469684519857,1.44291686665534,1.28831264281726,0.663650250136317,0.261845668580327,0.799848188790679,1.27549371783818,0.247420325328019,0.523788832829726,0.860707976425059,0.536154274731688,0.352278461142703,0.18762062007593,0.386741023454503,0.181469684519857,0.294247704714303,0.980198673306759,1.69893230861855,0.536154274731688,0.941764533584247,0.860707976425059
