"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-28 to 06-26",52.01,48.63,51.8366666666667,51.8366666666667,52.51,48.63,52.2166666666667,51.9066666666667,46.77,49.4466666666667,46.75,56.5633333333333,48.1733333333333,46.7266666666667,49.3266666666667,48.1933333333333,48.7,49.2566666666667,56.76,48.3,48.3,49.3266666666667,45.1266666666667,46.77,46.07,48.0366666666667,52.7533333333333,48.7,46.3,49.2566666666667,49.1166666666667,49.3266666666667,45.6133333333333,42.39,46.7266666666667,54.3533333333333,48.0366666666667,46.75,46.3,47.22,45.1266666666667,49.6233333333333,46.3,52.7533333333333,56.76,49.6233333333333,46.75,1981
"05-28 to 06-26",55.3433333333333,52.5933333333333,52.65,52.65,55.9533333333333,52.5933333333333,53.0133333333333,55.09,50.29,53.35,50.0833333333333,58.66,54.1066666666667,49.9466666666667,53.48,52.71,52.48,54.3766666666667,56.35,56.17,56.17,53.48,52.02,50.29,53.0866666666667,51.7966666666667,52.18,52.48,45.83,54.3766666666667,52.1533333333333,53.48,52.7333333333333,49.3866666666667,49.9466666666667,59.5833333333333,51.7966666666667,50.0833333333333,45.83,54.56,52.02,47.3733333333333,45.83,52.18,56.35,47.3733333333333,50.0833333333333,1982
"05-28 to 06-26",53.08,49.83,51.24,51.24,53.2366666666667,49.83,51.64,52.9566666666667,49.17,50.74,48.5166666666667,57.6066666666667,51.2333333333333,47.7033333333333,51.4033333333333,50.46,50.5966666666667,51.92,54.7433333333333,53.5766666666667,53.5766666666667,51.4033333333333,48.6466666666667,49.17,50.28,49.0466666666667,51.13,50.5966666666667,45.2666666666667,51.92,50.9166666666667,51.4033333333333,49.23,46.5633333333333,47.7033333333333,57.0866666666667,49.0466666666667,48.5166666666667,45.2666666666667,52.67,48.6466666666667,47.51,45.2666666666667,51.13,54.7433333333333,47.51,48.5166666666667,1983
"05-28 to 06-26",51.91,48.9233333333333,50.7,50.7,52.4933333333333,48.9233333333333,51.0433333333333,51.6966666666667,45.3566666666667,49.5366666666667,45.4166666666667,54.27,49.0466666666667,45.6766666666667,48.7833333333333,47.7866666666667,47.9233333333333,49.4233333333333,53.75,50.8633333333333,50.8633333333333,48.7833333333333,45.7133333333333,45.3566666666667,47.3366666666667,48.2366666666667,50.2133333333333,47.9233333333333,43.5333333333333,49.4233333333333,47.3433333333333,48.7833333333333,46.2466666666667,43.45,45.6766666666667,54.59,48.2366666666667,45.4166666666667,43.5333333333333,49.68,45.7133333333333,46.2533333333333,43.5333333333333,50.2133333333333,53.75,46.2533333333333,45.4166666666667,1984
"05-28 to 06-26",56.9133333333333,55.0733333333333,53.6866666666667,53.6866666666667,55.5066666666667,55.0733333333333,54.0266666666667,56.2033333333333,49.8366666666667,55.7466666666667,51.6533333333333,57.9266666666667,51.6433333333333,52.52,51.61,50.5966666666667,51.0166666666667,52.42,57.2733333333333,51.9233333333333,51.9233333333333,51.61,48.06,49.8366666666667,49.47,54.0466666666667,53.5033333333333,51.0166666666667,47.65,52.42,51.6533333333333,51.61,48.5533333333333,45.6533333333333,52.52,56.97,54.0466666666667,51.6533333333333,47.65,50.7766666666667,48.06,50.41,47.65,53.5033333333333,57.2733333333333,50.41,51.6533333333333,1985
"05-28 to 06-26",60.6233333333333,59.3966666666667,59.4466666666667,59.4466666666667,59.2833333333333,59.3966666666667,59.6733333333333,61.1966666666667,56.2266666666667,60.44,55.73,64.1733333333333,58.7966666666667,56.1166666666667,57.9733333333333,57.2733333333333,57.51,59.1066666666667,61.8866666666667,56.7166666666667,56.7166666666667,57.9733333333333,54.57,56.2266666666667,55.2433333333333,58.4566666666667,58.3966666666667,57.51,50.5,59.1066666666667,59.0333333333333,57.9733333333333,55.1633333333333,52.2933333333333,56.1166666666667,62.22,58.4566666666667,55.73,50.5,55.34,54.57,54.5766666666667,50.5,58.3966666666667,61.8866666666667,54.5766666666667,55.73,1986
"05-28 to 06-26",55.9266666666667,52.76,55.3566666666667,55.3566666666667,54.63,52.76,55.68,55.6366666666667,50.1833333333333,53.55,50.21,59.6666666666667,53.83,50.45,53.3933333333333,52.8666666666667,52.5666666666667,54.2833333333333,58.41,52.7066666666667,52.7066666666667,53.3933333333333,49.17,50.1833333333333,50.6966666666667,52.11,55.4033333333333,52.5666666666667,48.32,54.2833333333333,52.3833333333333,53.3933333333333,49.5533333333333,47.1633333333333,50.45,58.0566666666667,52.11,50.21,48.32,51.7366666666667,49.17,50.5,48.32,55.4033333333333,58.41,50.5,50.21,1987
"05-28 to 06-26",52.67,50.1,53.1633333333333,53.1633333333333,52.0933333333333,50.1,53.6566666666667,52.8666666666667,46.3533333333333,50.97,48.28,57.1066666666667,50.8266666666667,48.3833333333333,53.0633333333333,52.2533333333333,52.36,51.2933333333333,52.83,51.2,51.2,53.0633333333333,46.7666666666667,46.3533333333333,47.96,49.4733333333333,50.1833333333333,52.36,44.3766666666667,51.2933333333333,49.69,53.0633333333333,47.25,44.4333333333333,48.3833333333333,56.1566666666667,49.4733333333333,48.28,44.3766666666667,50.0966666666667,46.7666666666667,44.9666666666667,44.3766666666667,50.1833333333333,52.83,44.9666666666667,48.28,1988
"05-28 to 06-26",55.6166666666667,52.9266666666667,54.2933333333333,54.2933333333333,56.1866666666667,52.9266666666667,54.7333333333333,55.9066666666667,50.3433333333333,53.7766666666667,50.08,59.1866666666667,54.1933333333333,50.4333333333333,55.5633333333333,54.74,55.0466666666667,54.9666666666667,56.78,54.5633333333333,54.5633333333333,55.5633333333333,51.82,50.3433333333333,53.2533333333333,52.38,53.1566666666667,55.0466666666667,46.1933333333333,54.9666666666667,50.76,55.5633333333333,52.11,49.51,50.4333333333333,59.1366666666667,52.38,50.08,46.1933333333333,53.42,51.82,49.01,46.1933333333333,53.1566666666667,56.78,49.01,50.08,1989
"05-28 to 06-26",52.1366666666667,49.38,50.7966666666667,50.7966666666667,52.44,49.38,51.1033333333333,52.3366666666667,46.7733333333333,50.3233333333333,47.3833333333333,56.9966666666667,49.7633333333333,47.4933333333333,51.57,50.1866666666667,50.6633333333333,50.39,52.4333333333333,50.5,50.5,51.57,47.1933333333333,46.7733333333333,48.29,48.7133333333333,50.3466666666667,50.6633333333333,44.6966666666667,50.39,47.9533333333333,51.57,47.6833333333333,44.5933333333333,47.4933333333333,56.4833333333333,48.7133333333333,47.3833333333333,44.6966666666667,49.3566666666667,47.1933333333333,45.19,44.6966666666667,50.3466666666667,52.4333333333333,45.19,47.3833333333333,1990
