"r1","r2","r3","r4","r5","r6","site","offset"
-0.0969484784269592,-0.107835495319204,-0.00699566531076565,0.213316805234999,-0.0749290534316828,-0.0307170285109011,"10ABAM_OR",0
-0.0963848634881238,-0.115673609135406,0.0129729770260905,0.0381043669565078,-0.0746776593300614,0.350553767423619,"10ABAM_OR",1
-0.0965563983433918,-0.111267697877824,-0.0162320812666981,0.163900813948557,-0.0746992447060656,0.287647527734783,"10ABAM_OR",2
-0.0970783573298951,-0.102183339272877,-0.0371675003375721,0.305646390291851,-0.0745890701313201,-0.0519838683096709,"10ABAM_OR",3
-0.0979050444080321,-0.0752687813053473,-0.0167461731164189,0.412967770270992,-0.0740720200593731,NA,"10ABAM_OR",4
-0.0989632292500893,-0.0534343429273228,0.0258734670908113,0.414495667933356,-0.0734958272912189,NA,"10ABAM_OR",5
-0.0993951297044991,-0.0499541006284991,0.0615045280812233,0.39251678658659,-0.0734341778383091,NA,"10ABAM_OR",6
-0.0993803852134821,-0.025811668679402,0.115811508890981,0.398147964336469,-0.0736201727832045,NA,"10ABAM_OR",7
-0.09969567777258,0.218150463277041,0.172014891507085,0.407791164273913,-0.0740708348867734,NA,"10ABAM_OR",8
-0.102911442827452,0.562815131093975,0.181134362531658,0.310020800941868,-0.0742081965895427,NA,"10ABAM_OR",9
-0.105777271079274,0.583687587417032,0.181000146127521,0.174509259852506,-0.074306334203393,NA,"10ABAM_OR",10
-0.109499520598024,0.586626963502004,0.188407933210139,0.192097933635846,-0.0743463091372227,NA,"10ABAM_OR",11
-0.110805152533255,0.584488825409335,0.198228614186545,0.202634913318612,-0.0743447294035103,NA,"10ABAM_OR",12
-0.10971985562198,0.605304533921673,0.218504140310529,0.0638897674863862,-0.0741182243882517,NA,"10ABAM_OR",13
-0.125109288043728,0.623241397595469,0.209721818643673,0.050722675352775,-0.0735106674651038,NA,"10ABAM_OR",14
-0.151831085487989,0.621062976284162,0.195156006401406,-0.0290202198842082,-0.0731624266094225,NA,"10ABAM_OR",15
-0.159041038171994,0.622886721606893,0.188192879717192,-0.078195752476367,-0.0728276051452856,NA,"10ABAM_OR",16
-0.167778776599497,0.615278742768443,0.185897501737316,-0.0902465359676652,-0.0733514819643869,NA,"10ABAM_OR",17
-0.17754111790644,0.609316546193091,0.186503832844851,-0.0970790063767239,-0.0741947838820177,NA,"10ABAM_OR",18
-0.197947735262078,0.61122217573743,0.201237303890543,-0.0630917049245865,-0.0744740318817292,NA,"10ABAM_OR",19
-0.177231126642838,0.611355638082912,0.264033037323437,-0.00911394742603192,-0.0745098238912345,NA,"10ABAM_OR",20
-0.137347524002092,0.587660699739044,0.408393705125184,0.0344769588512129,-0.0745117103190384,NA,"10ABAM_OR",21
-0.105786588187313,0.521583628904687,0.516205623921584,0.0573612545258137,-0.074512021871955,NA,"10ABAM_OR",22
-0.0999131573399541,0.522046506577362,0.528192343975213,0.07191098089749,-0.0745121325188221,NA,"10ABAM_OR",23
-0.0977812980591571,0.465655346377606,0.518297042407917,0.0470857775243901,-0.074511751592216,NA,"10ABAM_OR",24
-0.0988909756580627,0.168963993678673,0.468615948918918,-0.00507963039853185,-0.0745076384096908,NA,"10ABAM_OR",25
