"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-02 to 05-31",46.21,43.0466666666667,45.1966666666667,45.1966666666667,47.59,43.0466666666667,45.5866666666667,46.1033333333333,41.9733333333333,43.84,40.8133333333333,50.4066666666667,44.18,41.0766666666667,45.1833333333333,44.08,44.58,45.1966666666667,48.8633333333333,47.2933333333333,47.2933333333333,45.1833333333333,41.7166666666667,41.9733333333333,43.5066666666667,42.3866666666667,45.0433333333333,44.58,38.8633333333333,45.1966666666667,43.71,45.1833333333333,42.2433333333333,39.48,41.0766666666667,51.3133333333333,42.3866666666667,40.8133333333333,38.8633333333333,46.0366666666667,41.7166666666667,40.8633333333333,38.8633333333333,45.0433333333333,48.8633333333333,40.8633333333333,40.8133333333333,1981
"05-02 to 05-31",46.6466666666667,43.5333333333333,45.5333333333333,45.5333333333333,49.7633333333333,43.5333333333333,45.9533333333333,46.65,42.0533333333333,44.37,41.5466666666667,49.94,46.3933333333333,41.7866666666667,45.4033333333333,44.7566666666667,44.66,47.0133333333333,50.4533333333333,47.1033333333333,47.1033333333333,45.4033333333333,41.2,42.0533333333333,42.9633333333333,42.88,46.0166666666667,44.66,39.9133333333333,47.0133333333333,43.5466666666667,45.4033333333333,41.6533333333333,39.15,41.7866666666667,51.4066666666667,42.88,41.5466666666667,39.9133333333333,45.58,41.2,43.65,39.9133333333333,46.0166666666667,50.4533333333333,43.65,41.5466666666667,1982
"05-02 to 05-31",50.6433333333333,47.9733333333333,47.7866666666667,47.7866666666667,51.8466666666667,47.9733333333333,48.11,50.77,46.46,48.8866666666667,45.6366666666667,53.7466666666667,49.4566666666667,45.8,48.5566666666667,47.7033333333333,47.8533333333333,49.7466666666667,51.22,51.6066666666667,51.6066666666667,48.5566666666667,45.8666666666667,46.46,47.5666666666667,46.9766666666667,47.5533333333333,47.8533333333333,41.2933333333333,49.7466666666667,47.65,48.5566666666667,46.43,44.1466666666667,45.8,54.9433333333333,46.9766666666667,45.6366666666667,41.2933333333333,50.2533333333333,45.8666666666667,44.97,41.2933333333333,47.5533333333333,51.22,44.97,45.6366666666667,1983
"05-02 to 05-31",45.3866666666667,41.93,47.0033333333333,47.0033333333333,47.3166666666667,41.93,47.3733333333333,45.3666666666667,40.5166666666667,42.6866666666667,40.3,50.0566666666667,42.24,40.6766666666667,42.0766666666667,40.8566666666667,41.5033333333333,42.8933333333333,49.17,43.7933333333333,43.7933333333333,42.0766666666667,38.0266666666667,40.5166666666667,39.91,41.6366666666667,45.03,41.5033333333333,38.8133333333333,42.8933333333333,42.59,42.0766666666667,38.3733333333333,35.6,40.6766666666667,48.7766666666667,41.6366666666667,40.3,38.8133333333333,42.8233333333333,38.0266666666667,42.75,38.8133333333333,45.03,49.17,42.75,40.3,1984
"05-02 to 05-31",47.88,44.7266666666667,47.0366666666667,47.0366666666667,48.45,44.7266666666667,47.3166666666667,47.54,42.4933333333333,45.6033333333333,41.8666666666667,52.1866666666667,45.22,42.1566666666667,46.4166666666667,44.8066666666667,45.5133333333333,46.0266666666667,48.86,48.6833333333333,48.6833333333333,46.4166666666667,43.3233333333333,42.4933333333333,44.9233333333333,43.8233333333333,45.7066666666667,45.5133333333333,40.4266666666667,46.0266666666667,44.83,46.4166666666667,43.87,41.0666666666667,42.1566666666667,52.59,43.8233333333333,41.8666666666667,40.4266666666667,47.1466666666667,43.3233333333333,41.0166666666667,40.4266666666667,45.7066666666667,48.86,41.0166666666667,41.8666666666667,1985
"05-02 to 05-31",48.7633333333333,47.12,46.46,46.46,48.78,47.12,46.87,49.7,43.5833333333333,48.2766666666667,43.5033333333333,52.3166666666667,47.62,44.0033333333333,47.45,46.8766666666667,46.5933333333333,48.01,49.07,48.11,48.11,47.45,42.45,43.5833333333333,43.61,46.1633333333333,45.6033333333333,46.5933333333333,39.0166666666667,48.01,45.69,47.45,42.96,40.3666666666667,44.0033333333333,52.7366666666667,46.1633333333333,43.5033333333333,39.0166666666667,47.1766666666667,42.45,41.7166666666667,39.0166666666667,45.6033333333333,49.07,41.7166666666667,43.5033333333333,1986
"05-02 to 05-31",51.36,48.5966666666667,51.63,51.63,52.0266666666667,48.5966666666667,51.9366666666667,51.3633333333333,46.66,49.3933333333333,46.02,55.7833333333333,50.13,46.4133333333333,51.7666666666667,50.8533333333333,51.1066666666667,51.0233333333333,52.8466666666667,50.1466666666667,50.1466666666667,51.7666666666667,46.4233333333333,46.66,48.3,47.9433333333333,49.6066666666667,51.1066666666667,42.4133333333333,51.0233333333333,49.1133333333333,51.7666666666667,46.8133333333333,44.5933333333333,46.4133333333333,55.4433333333333,47.9433333333333,46.02,42.4133333333333,48.6733333333333,46.4233333333333,45.0966666666667,42.4133333333333,49.6066666666667,52.8466666666667,45.0966666666667,46.02,1987
"05-02 to 05-31",46.51,43.8266666666667,45.55,45.55,47.0633333333333,43.8266666666667,45.9533333333333,46.5566666666667,40.66,44.6733333333333,41.6366666666667,50.7233333333333,45.8833333333333,41.9933333333333,47.75,46.8,47.01,47.18,46.3533333333333,48,48,47.75,42.08,40.66,44.2366666666667,43.1566666666667,43.7033333333333,47.01,38.1333333333333,47.18,43.1833333333333,47.75,42.4533333333333,40.2266666666667,41.9933333333333,52.3233333333333,43.1566666666667,41.6366666666667,38.1333333333333,47.1666666666667,42.08,38.7033333333333,38.1333333333333,43.7033333333333,46.3533333333333,38.7033333333333,41.6366666666667,1988
"05-02 to 05-31",46.4033333333333,43.74,45.8366666666667,45.8366666666667,48.7833333333333,43.74,46.29,46.8866666666667,40.51,44.77,40.7366666666667,50.4,45.1733333333333,41.0933333333333,46.77,45.7733333333333,46.62,46.14,47.9066666666667,46.8166666666667,46.8166666666667,46.77,42.6233333333333,40.51,44.29,43.0366666666667,44.3133333333333,46.62,38.1566666666667,46.14,43.25,46.77,42.9166666666667,40.4866666666667,41.0933333333333,52.0933333333333,43.0366666666667,40.7366666666667,38.1566666666667,45.6233333333333,42.6233333333333,40.0366666666667,38.1566666666667,44.3133333333333,47.9066666666667,40.0366666666667,40.7366666666667,1989
"05-02 to 05-31",46.0466666666667,43.3133333333333,44.48,44.48,47.6633333333333,43.3133333333333,44.86,46.3466666666667,40.6233333333333,44.2433333333333,41.3233333333333,50.2166666666667,44.1266666666667,41.47,45.8566666666667,44.4866666666667,44.9666666666667,44.97,46.0066666666667,46.6833333333333,46.6833333333333,45.8566666666667,41.65,40.6233333333333,43.5,42.65,43.8966666666667,44.9666666666667,38.66,44.97,41.3066666666667,45.8566666666667,42.2,39.5966666666667,41.47,51.3866666666667,42.65,41.3233333333333,38.66,45.23,41.65,38.83,38.66,43.8966666666667,46.0066666666667,38.83,41.3233333333333,1990
