"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-26 to 06-24",51.3333333333333,47.9566666666667,50.98,50.98,51.7733333333333,47.9566666666667,51.3766666666667,51.24,45.9966666666667,48.78,46.06,55.8066666666667,47.3133333333333,46.0533333333333,48.6766666666667,47.5166666666667,48.09,48.44,55.9066666666667,47.5866666666667,47.5866666666667,48.6766666666667,44.3166666666667,45.9966666666667,45.32,47.3466666666667,51.8533333333333,48.09,45.3933333333333,48.44,48.3566666666667,48.6766666666667,44.7966666666667,41.5333333333333,46.0533333333333,53.77,47.3466666666667,46.06,45.3933333333333,46.6166666666667,44.3166666666667,48.53,45.3933333333333,51.8533333333333,55.9066666666667,48.53,46.06,1981
"05-26 to 06-24",54.2166666666667,51.3966666666667,52.11,52.11,55.2,51.3966666666667,52.49,54,49.3466666666667,52.17,49.05,57.7166666666667,52.7866666666667,48.94,52.2566666666667,51.4566666666667,51.2666666666667,53.1333333333333,55.9566666666667,55,55,52.2566666666667,50.5133333333333,49.3466666666667,51.6266666666667,50.6366666666667,51.7,51.2666666666667,45.2766666666667,53.1333333333333,51.27,52.2566666666667,51.2,47.92,48.94,58.36,50.6366666666667,49.05,45.2766666666667,53.4066666666667,50.5133333333333,47.3433333333333,45.2766666666667,51.7,55.9566666666667,47.3433333333333,49.05,1982
"05-26 to 06-24",53.7266666666667,50.6066666666667,51.85,51.85,53.8833333333333,50.6066666666667,52.23,53.6566666666667,49.85,51.5166666666667,49.1633333333333,58.15,51.99,48.4266666666667,51.9266666666667,51.0533333333333,51.17,52.5566666666667,55.3866666666667,54.05,54.05,51.9266666666667,49.05,49.85,50.6533333333333,49.79,51.74,51.17,45.8333333333333,52.5566666666667,51.5166666666667,51.9266666666667,49.6233333333333,47.1,48.4266666666667,57.65,49.79,49.1633333333333,45.8333333333333,53.03,49.05,48.5566666666667,45.8333333333333,51.74,55.3866666666667,48.5566666666667,49.1633333333333,1983
"05-26 to 06-24",50.47,47.4833333333333,49.5666666666667,49.5666666666667,51.5733333333333,47.4833333333333,49.9233333333333,50.28,43.9866666666667,48.1,44.22,53.1366666666667,47.63,44.44,47.3866666666667,46.3433333333333,46.5733333333333,47.9966666666667,52.8133333333333,49.8033333333333,49.8033333333333,47.3866666666667,44.25,43.9866666666667,45.9,46.84,49.2133333333333,46.5733333333333,42.6266666666667,47.9966666666667,46.1066666666667,47.3866666666667,44.7533333333333,41.98,44.44,53.28,46.84,44.22,42.6266666666667,48.6066666666667,44.25,45.54,42.6266666666667,49.2133333333333,52.8133333333333,45.54,44.22,1984
"05-26 to 06-24",56.6866666666667,54.68,53.8066666666667,53.8066666666667,55.65,54.68,54.14,55.9966666666667,49.6966666666667,55.3666666666667,51.39,58.1266666666667,51.6266666666667,52.15,51.6766666666667,50.5766666666667,51.06,52.4,57.3066666666667,52.0633333333333,52.0633333333333,51.6766666666667,48.1333333333333,49.6966666666667,49.5233333333333,53.6366666666667,53.5566666666667,51.06,47.6266666666667,52.4,51.6566666666667,51.6766666666667,48.63,45.74,52.15,57.11,53.6366666666667,51.39,47.6266666666667,50.93,48.1333333333333,50.2666666666667,47.6266666666667,53.5566666666667,57.3066666666667,50.2666666666667,51.39,1985
"05-26 to 06-24",60.4833333333333,59.1433333333333,59.0133333333333,59.0133333333333,59.0333333333333,59.1433333333333,59.26,60.9733333333333,56.17,60.1866666666667,55.34,63.97,58.8966666666667,55.77,58.16,57.4866666666667,57.68,59.2233333333333,61.3733333333333,56.8966666666667,56.8966666666667,58.16,54.8166666666667,56.17,55.48,58.21,57.9,57.68,50.01,59.2233333333333,58.9033333333333,58.16,55.4333333333333,52.4766666666667,55.77,62.4866666666667,58.21,55.34,50.01,55.6033333333333,54.8166666666667,54.02,50.01,57.9,61.3733333333333,54.02,55.34,1986
"05-26 to 06-24",53.87,50.82,53.9933333333333,53.9933333333333,53.1966666666667,50.82,54.2933333333333,53.69,48.5366666666667,51.6366666666667,48.49,58.4866666666667,52.4166666666667,48.7,52.2566666666667,51.66,51.4233333333333,52.8366666666667,56.3066666666667,52.0433333333333,52.0433333333333,52.2566666666667,47.9166666666667,48.5366666666667,49.5366666666667,50.1866666666667,53.4266666666667,51.4233333333333,46.4633333333333,52.8366666666667,50.65,52.2566666666667,48.27,46.0333333333333,48.7,57.08,50.1866666666667,48.49,46.4633333333333,51.0866666666667,47.9166666666667,48.3166666666667,46.4633333333333,53.4266666666667,56.3066666666667,48.3166666666667,48.49,1987
"05-26 to 06-24",51.87,49.2833333333333,52.4133333333333,52.4133333333333,51.4933333333333,49.2833333333333,52.9033333333333,52.09,45.5566666666667,50.1666666666667,47.4366666666667,56.6866666666667,49.9766666666667,47.5666666666667,52.3033333333333,51.4833333333333,51.6166666666667,50.5533333333333,52.0833333333333,50.6533333333333,50.6533333333333,52.3033333333333,46.2066666666667,45.5566666666667,47.4933333333333,48.63,49.43,51.6166666666667,43.6033333333333,50.5533333333333,48.95,52.3033333333333,46.7033333333333,43.8433333333333,47.5666666666667,55.5333333333333,48.63,47.4366666666667,43.6033333333333,49.59,46.2066666666667,44.1333333333333,43.6033333333333,49.43,52.0833333333333,44.1333333333333,47.4366666666667,1988
"05-26 to 06-24",53.9666666666667,51.37,53.12,53.12,54.9366666666667,51.37,53.5566666666667,54.34,48.75,52.23,48.59,58.0133333333333,52.5833333333333,48.95,54.1266666666667,53.29,53.6333333333333,53.37,55.5666666666667,53.2466666666667,53.2466666666667,54.1266666666667,50.2966666666667,48.75,51.78,50.8266666666667,51.8833333333333,53.6333333333333,45.05,53.37,49.4633333333333,54.1266666666667,50.5533333333333,48.02,48.95,57.89,50.8266666666667,48.59,45.05,52.14,50.2966666666667,47.9033333333333,45.05,51.8833333333333,55.5666666666667,47.9033333333333,48.59,1989
"05-26 to 06-24",51.3666666666667,48.5633333333333,49.7133333333333,49.7133333333333,51.9833333333333,48.5633333333333,50.0166666666667,51.4333333333333,46.1666666666667,49.4666666666667,46.54,56.07,49.0566666666667,46.6766666666667,50.8533333333333,49.4333333333333,49.9166666666667,49.7066666666667,51.34,49.89,49.89,50.8533333333333,46.2833333333333,46.1666666666667,47.4366666666667,47.8466666666667,49.3166666666667,49.9166666666667,43.73,49.7066666666667,46.99,50.8533333333333,46.7866666666667,43.7533333333333,46.6766666666667,55.9166666666667,47.8466666666667,46.54,43.73,48.6733333333333,46.2833333333333,43.9966666666667,43.73,49.3166666666667,51.34,43.9966666666667,46.54,1990
"05-26 to 06-24",48.3466666666667,45.7166666666667,48.2433333333333,48.2433333333333,49.4833333333333,45.7166666666667,48.8033333333333,48.6566666666667,42.16,46.64,44.54,52.3366666666667,45.9733333333333,44.4066666666667,46.3133333333333,45.52,45.74,46.54,49.4266666666667,47.83,47.83,46.3133333333333,43.8366666666667,42.16,45.0233333333333,45.1966666666667,47.0033333333333,45.74,40.8433333333333,46.54,44.0633333333333,46.3133333333333,44.42,41.2266666666667,44.4066666666667,53.1266666666667,45.1966666666667,44.54,40.8433333333333,46.2866666666667,43.8366666666667,41.8433333333333,40.8433333333333,47.0033333333333,49.4266666666667,41.8433333333333,44.54,1991
"05-26 to 06-24",57.79,55.1833333333333,57.51,57.51,57.9333333333333,55.1833333333333,58.0266666666667,58.16,53.7333333333333,56.17,54.04,61.4433333333333,55.17,53.7233333333333,56.65,55.6066666666667,55.9966666666667,55.6633333333333,59.16,56.24,56.24,56.65,53.82,53.7333333333333,54.65,54.7633333333333,56.28,55.9966666666667,50.25,55.6633333333333,55.0933333333333,56.65,54.2566666666667,51.0266666666667,53.7233333333333,61.4633333333333,54.7633333333333,54.04,50.25,55.13,53.82,51.1866666666667,50.25,56.28,59.16,51.1866666666667,54.04,1992
