"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-27 to 06-25",51.79,48.43,51.39,51.39,52.2133333333333,48.43,51.7833333333333,51.69,46.33,49.2466666666667,46.52,56.17,47.7766666666667,46.5133333333333,48.9866666666667,47.82,48.35,48.8566666666667,56.39,47.96,47.96,48.9866666666667,44.73,46.33,45.6966666666667,47.8233333333333,52.32,48.35,45.8966666666667,48.8566666666667,48.71,48.9866666666667,45.2133333333333,41.9933333333333,46.5133333333333,54.0433333333333,47.8233333333333,46.52,45.8966666666667,46.8966666666667,44.73,49.17,45.8966666666667,52.32,56.39,49.17,46.52,1981
"05-27 to 06-25",54.61,51.8533333333333,52.09,52.09,55.42,51.8533333333333,52.47,54.3633333333333,49.55,52.61,49.3966666666667,57.88,53.2866666666667,49.2833333333333,52.66,51.91,51.6433333333333,53.59,55.9033333333333,55.58,55.58,52.66,51.2466666666667,49.55,52.35,51.07,51.7466666666667,51.6433333333333,45.3433333333333,53.59,51.3766666666667,52.66,51.9533333333333,48.6,49.2833333333333,58.85,51.07,49.3966666666667,45.3433333333333,54.0033333333333,51.2466666666667,47.09,45.3433333333333,51.7466666666667,55.9033333333333,47.09,49.3966666666667,1982
"05-27 to 06-25",53.3633333333333,50.2133333333333,51.4133333333333,51.4133333333333,53.4933333333333,50.2133333333333,51.8066666666667,53.28,49.4566666666667,51.12,48.8033333333333,57.75,51.4866666666667,48.0466666666667,51.56,50.6566666666667,50.7966666666667,52.14,54.9633333333333,53.7033333333333,53.7033333333333,51.56,48.7166666666667,49.4566666666667,50.35,49.4033333333333,51.34,50.7966666666667,45.45,52.14,51.1333333333333,51.56,49.2933333333333,46.6966666666667,48.0466666666667,57.2466666666667,49.4033333333333,48.8033333333333,45.45,52.7666666666667,48.7166666666667,48.0033333333333,45.45,51.34,54.9633333333333,48.0033333333333,48.8033333333333,1983
"05-27 to 06-25",51.1966666666667,48.25,50.14,50.14,52.0566666666667,48.25,50.4866666666667,50.9966666666667,44.6466666666667,48.86,44.8533333333333,53.59,48.3933333333333,45.0933333333333,48.1233333333333,47.1033333333333,47.2666666666667,48.75,53.2566666666667,50.3266666666667,50.3266666666667,48.1233333333333,45.0033333333333,44.6466666666667,46.6433333333333,47.5733333333333,49.7266666666667,47.2666666666667,43.0666666666667,48.75,46.6966666666667,48.1233333333333,45.5266666666667,42.73,45.0933333333333,53.9466666666667,47.5733333333333,44.8533333333333,43.0666666666667,49.1366666666667,45.0033333333333,45.92,43.0666666666667,49.7266666666667,53.2566666666667,45.92,44.8533333333333,1984
"05-27 to 06-25",56.63,54.6966666666667,53.6,53.6,55.46,54.6966666666667,53.9366666666667,55.9333333333333,49.6066666666667,55.3766666666667,51.3933333333333,57.9433333333333,51.5266666666667,52.19,51.5533333333333,50.5,50.94,52.2933333333333,57.1633333333333,51.9433333333333,51.9433333333333,51.5533333333333,47.96,49.6066666666667,49.36,53.6766666666667,53.4066666666667,50.94,47.5566666666667,52.2933333333333,51.52,51.5533333333333,48.45,45.5433333333333,52.19,56.95,53.6766666666667,51.3933333333333,47.5566666666667,50.8,47.96,50.1766666666667,47.5566666666667,53.4066666666667,57.1633333333333,50.1766666666667,51.3933333333333,1985
"05-27 to 06-25",60.46,59.1666666666667,59.2,59.2,59.0033333333333,59.1666666666667,59.4366666666667,60.9866666666667,56.1766666666667,60.2033333333333,55.56,64.04,58.7566666666667,55.9566666666667,58.0366666666667,57.3333333333333,57.5733333333333,59.0733333333333,61.53,56.7333333333333,56.7333333333333,58.0366666666667,54.5533333333333,56.1766666666667,55.24,58.2566666666667,58.0866666666667,57.5733333333333,50.2233333333333,59.0733333333333,58.9466666666667,58.0366666666667,55.1433333333333,52.2833333333333,55.9566666666667,62.2633333333333,58.2566666666667,55.56,50.2233333333333,55.4233333333333,54.5533333333333,54.2,50.2233333333333,58.0866666666667,61.53,54.2,55.56,1986
"05-27 to 06-25",54.7366666666667,51.6133333333333,54.6433333333333,54.6433333333333,53.75,51.6133333333333,54.96,54.48,49.16,52.4,49.14,58.9533333333333,52.9166666666667,49.36,52.62,52.0333333333333,51.7933333333333,53.3566666666667,57.2566666666667,52.24,52.24,52.62,48.3133333333333,49.16,49.9433333333333,50.9633333333333,54.3233333333333,51.7933333333333,47.29,53.3566666666667,51.33,52.62,48.6733333333333,46.4133333333333,49.36,57.43,50.9633333333333,49.14,47.29,51.28,48.3133333333333,49.3566666666667,47.29,54.3233333333333,57.2566666666667,49.3566666666667,49.14,1987
"05-27 to 06-25",52.3,49.7166666666667,52.8,52.8,51.86,49.7166666666667,53.3033333333333,52.5366666666667,46.0466666666667,50.6133333333333,47.7733333333333,57.0433333333333,50.38,47.8866666666667,52.62,51.8066666666667,51.9366666666667,50.9466666666667,52.5433333333333,50.83,50.83,52.62,46.4733333333333,46.0466666666667,47.7066666666667,49.0433333333333,49.89,51.9366666666667,44.07,50.9466666666667,49.3,52.62,46.9633333333333,44.11,47.8866666666667,55.8333333333333,49.0433333333333,47.7733333333333,44.07,49.77,46.4733333333333,44.6433333333333,44.07,49.89,52.5433333333333,44.6433333333333,47.7733333333333,1988
"05-27 to 06-25",54.8966666666667,52.24,53.7666666666667,53.7666666666667,55.7366666666667,52.24,54.2033333333333,55.2233333333333,49.6266666666667,53.09,49.4866666666667,58.6166666666667,53.4966666666667,49.8233333333333,54.8933333333333,54.0566666666667,54.3733333333333,54.2966666666667,56.36,53.9033333333333,53.9033333333333,54.8933333333333,51.1166666666667,49.6266666666667,52.58,51.71,52.6066666666667,54.3733333333333,45.6633333333333,54.2966666666667,50.1466666666667,54.8933333333333,51.3966666666667,48.8266666666667,49.8233333333333,58.5,51.71,49.4866666666667,45.6633333333333,52.7833333333333,51.1166666666667,48.5966666666667,45.6633333333333,52.6066666666667,56.36,48.5966666666667,49.4866666666667,1989
"05-27 to 06-25",51.8933333333333,49.1,50.3566666666667,50.3566666666667,52.28,49.1,50.65,52.0033333333333,46.5366666666667,50.02,47.0733333333333,56.67,49.4666666666667,47.2066666666667,51.29,49.8766666666667,50.35,50.1066666666667,51.9066666666667,50.3233333333333,50.3233333333333,51.29,46.7966666666667,46.5366666666667,47.92,48.3966666666667,49.8666666666667,50.35,44.29,50.1066666666667,47.5933333333333,51.29,47.3,44.26,47.2066666666667,56.2366666666667,48.3966666666667,47.0733333333333,44.29,49.13,46.7966666666667,44.5666666666667,44.29,49.8666666666667,51.9066666666667,44.5666666666667,47.0733333333333,1990
"05-27 to 06-25",48.6733333333333,46.05,48.5166666666667,48.5166666666667,49.7166666666667,46.05,49.06,48.98,42.4966666666667,46.9666666666667,44.88,52.6766666666667,46.31,44.7533333333333,46.67,45.8566666666667,46.09,46.8766666666667,49.7733333333333,48.3,48.3,46.67,44.1833333333333,42.4966666666667,45.36,45.5333333333333,47.3366666666667,46.09,41.16,46.8766666666667,44.5266666666667,46.67,44.7766666666667,41.57,44.7533333333333,53.4066666666667,45.5333333333333,44.88,41.16,46.77,44.1833333333333,42.1533333333333,41.16,47.3366666666667,49.7733333333333,42.1533333333333,44.88,1991
