"Group.1","10ABAM_OR","11ABAM_OR","12ABGR_OR","13ABMAS_OR","14ABPR_OR","15ABPR_OR","16PIMO3_OR","17TSME_OR","18TSME_OR","19TSME_OR","1ABAM_OR","21PIEN_WA","22ABAM_WA","23ABLA_WA","25TSME_WA","26TSME_WA","27PIMO3_WA","28ABAM_WA","2ABCO_OR","30ABAM_WA","31ABAM_WA","33ABAM_WA","35ABAM_WA","36ABAM_WA","37ABAM_WA","39ABGR_WA","3ABCO_OR","40ABGR_WA","43ABMAS_WA","44ABPR_WA","45ABPR_WA","46ABPR_WA","48ABPR_WA","49ABPR_WA","4ABLA_OR","50ABPR_WA","54PIMO3_WA","55PIMO3_WA","57PIMO3_WA","58TSME_WA","59TSME_WA","5ABMA_OR","60TSME_WA","6ABMA_OR","7PILA_OR","8TSME_OR","9TSME_OR","year"
"05-03 to 06-01",46.6166666666667,43.46,45.3266666666667,45.3266666666667,47.9,43.46,45.7233333333333,46.52,42.2666666666667,44.2533333333333,41.1966666666667,50.4933333333333,44.5033333333333,41.4666666666667,45.48,44.3666666666667,44.87,45.4833333333333,49.16,47.4066666666667,47.4066666666667,45.48,42.03,42.2666666666667,43.79,42.7933333333333,45.2866666666667,44.87,39.14,45.4833333333333,43.99,45.48,42.5633333333333,39.7933333333333,41.4666666666667,51.5533333333333,42.7933333333333,41.1966666666667,39.14,46.1733333333333,42.03,41.2633333333333,39.14,45.2866666666667,49.16,41.2633333333333,41.1966666666667,1981
"05-03 to 06-01",46.7666666666667,43.6366666666667,45.6166666666667,45.6166666666667,49.82,43.6366666666667,46.0433333333333,46.75,42.0966666666667,44.47,41.6566666666667,50.14,46.56,41.8366666666667,45.6066666666667,44.9366666666667,44.8366666666667,47.15,50.4666666666667,47.46,47.46,45.6066666666667,41.4233333333333,42.0966666666667,43.1933333333333,42.98,46.08,44.8366666666667,39.9466666666667,47.15,43.73,45.6066666666667,41.8766666666667,39.3466666666667,41.8366666666667,51.6966666666667,42.98,41.6566666666667,39.9466666666667,45.9166666666667,41.4233333333333,43.54,39.9466666666667,46.08,50.4666666666667,43.54,41.6566666666667,1982
"05-03 to 06-01",50.8233333333333,48.16,48.0933333333333,48.0933333333333,52.0466666666667,48.16,48.4133333333333,50.9466666666667,46.4666666666667,49.07,45.8966666666667,54.0733333333333,49.5733333333333,45.9933333333333,48.7966666666667,47.9066666666667,48.07,49.8466666666667,51.3166666666667,51.91,51.91,48.7966666666667,46.1066666666667,46.4666666666667,47.7833333333333,47.17,47.6466666666667,48.07,41.4533333333333,49.8466666666667,47.8,48.7966666666667,46.67,44.3933333333333,45.9933333333333,55.0933333333333,47.17,45.8966666666667,41.4533333333333,50.5466666666667,46.1066666666667,45.1266666666667,41.4533333333333,47.6466666666667,51.3166666666667,45.1266666666667,45.8966666666667,1983
"05-03 to 06-01",45.5866666666667,42.1666666666667,47.0666666666667,47.0666666666667,47.4333333333333,42.1666666666667,47.4333333333333,45.5766666666667,40.4866666666667,42.9233333333333,40.3066666666667,49.8633333333333,42.2666666666667,40.71,42.09,40.8933333333333,41.5166666666667,42.92,49.37,43.7033333333333,43.7033333333333,42.09,38.1066666666667,40.4866666666667,39.99,41.8233333333333,45.27,41.5166666666667,39.0266666666667,42.92,42.53,42.09,38.4666666666667,35.6433333333333,40.71,48.76,41.8233333333333,40.3066666666667,39.0266666666667,42.7,38.1066666666667,43.0466666666667,39.0266666666667,45.27,49.37,43.0466666666667,40.3066666666667,1984
"05-03 to 06-01",47.6566666666667,44.5233333333333,46.6533333333333,46.6533333333333,48.1566666666667,44.5233333333333,46.95,47.3066666666667,42.1433333333333,45.4133333333333,41.6033333333333,51.79,44.92,41.8933333333333,46.2133333333333,44.5966666666667,45.31,45.7066666666667,48.4866666666667,48.61,48.61,46.2133333333333,43.2433333333333,42.1433333333333,44.87,43.5966666666667,45.4366666666667,45.31,40.1033333333333,45.7066666666667,44.48,46.2133333333333,43.8033333333333,40.9266666666667,41.8933333333333,52.4333333333333,43.5966666666667,41.6033333333333,40.1033333333333,47.13,43.2433333333333,40.45,40.1033333333333,45.4366666666667,48.4866666666667,40.45,41.6033333333333,1985
"05-03 to 06-01",49.78,48.1833333333333,47.28,47.28,49.7533333333333,48.1833333333333,47.6933333333333,50.6133333333333,44.59,49.33,44.25,53.15,48.7466666666667,44.7733333333333,48.51,47.9866666666667,47.69,49.1133333333333,50.0866666666667,48.9133333333333,48.9133333333333,48.51,43.4833333333333,44.59,44.62,47.1666666666667,46.4033333333333,47.69,39.7333333333333,49.1133333333333,46.76,48.51,43.9933333333333,41.4166666666667,44.7733333333333,53.54,47.1666666666667,44.25,39.7333333333333,47.93,43.4833333333333,42.7833333333333,39.7333333333333,46.4033333333333,50.0866666666667,42.7833333333333,44.25,1986
"05-03 to 06-01",51.4133333333333,48.6766666666667,51.6533333333333,51.6533333333333,52.1633333333333,48.6766666666667,51.9633333333333,51.4366666666667,46.67,49.48,46.1,55.8666666666667,50.3066666666667,46.5,51.85,50.9366666666667,51.1633333333333,51.14,53.0566666666667,50.1366666666667,50.1366666666667,51.85,46.4066666666667,46.67,48.29,48.0333333333333,49.7466666666667,51.1633333333333,42.5166666666667,51.14,49.1033333333333,51.85,46.78,44.5833333333333,46.5,55.4866666666667,48.0333333333333,46.1,42.5166666666667,48.7,46.4066666666667,45.4233333333333,42.5166666666667,49.7466666666667,53.0566666666667,45.4233333333333,46.1,1987
"05-03 to 06-01",46.8033333333333,44.1133333333333,45.8133333333333,45.8133333333333,47.3,44.1133333333333,46.23,46.8133333333333,40.97,44.9366666666667,41.9566666666667,51.0466666666667,46.1233333333333,42.3466666666667,47.9766666666667,47.0333333333333,47.2433333333333,47.3933333333333,46.7166666666667,48.25,48.25,47.9766666666667,42.4433333333333,40.97,44.5666666666667,43.46,44.0066666666667,47.2433333333333,38.39,47.3933333333333,43.5066666666667,47.9766666666667,42.8266666666667,40.5566666666667,42.3466666666667,52.5766666666667,43.46,41.9566666666667,38.39,47.4266666666667,42.4433333333333,39.0733333333333,38.39,44.0066666666667,46.7166666666667,39.0733333333333,41.9566666666667,1988
"05-03 to 06-01",46.7966666666667,44.1033333333333,46.1333333333333,46.1333333333333,49.0933333333333,44.1033333333333,46.5966666666667,47.2466666666667,40.82,45.1166666666667,41.0133333333333,50.74,45.6166666666667,41.39,47.2666666666667,46.29,47.1266666666667,46.54,48.2933333333333,47.05,47.05,47.2666666666667,43.03,40.82,44.6633333333333,43.4,44.6066666666667,47.1266666666667,38.46,46.54,43.5266666666667,47.2666666666667,43.3,40.8833333333333,41.39,52.42,43.4,41.0133333333333,38.46,45.8533333333333,43.03,40.4266666666667,38.46,44.6066666666667,48.2933333333333,40.4266666666667,41.0133333333333,1989
"05-03 to 06-01",45.7866666666667,43.04,44.1366666666667,44.1366666666667,47.3866666666667,43.04,44.5166666666667,46.0266666666667,40.44,43.9633333333333,41.0866666666667,50.01,43.8566666666667,41.23,45.56,44.19,44.65,44.6966666666667,45.51,46.6766666666667,46.6766666666667,45.56,41.4633333333333,40.44,43.2866666666667,42.3533333333333,43.5233333333333,44.65,38.3133333333333,44.6966666666667,41.1166666666667,45.56,42.0066666666667,39.4,41.23,51.19,42.3533333333333,41.0866666666667,38.3133333333333,45.2566666666667,41.4633333333333,38.4,38.3133333333333,43.5233333333333,45.51,38.4,41.0866666666667,1990
